Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,Weekend,Month_Aug,Month_Dec,Month_Feb,Month_Jul,Month_Jun,Month_Mar,Month_May,Month_Nov,Month_Oct,Month_Sep,VisitorType_New_Visitor,VisitorType_Returning_Visitor,Revenue
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,2.0,64.0,0.0,0.1,0.0,0.0,2.0,2.0,1.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,4.0,1.0,9.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,2.0,2.666666667,0.05,0.14,0.0,0.0,3.0,2.0,2.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,10.0,627.5,0.02,0.05,0.0,0.0,3.0,3.0,1.0,4.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,19.0,154.2166667,0.015789474,0.024561404,0.0,0.0,2.0,2.0,1.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.4,2.0,4.0,3.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,1.0,2.0,1.0,5.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,2.0,37.0,0.0,0.1,0.0,0.8,2.0,2.0,2.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,3.0,738.0,0.0,0.022222222,0.0,0.4,2.0,4.0,1.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,3.0,395.0,0.0,0.066666667,0.0,0.0,1.0,1.0,3.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,16.0,407.75,0.01875,0.025833333,0.0,0.4,1.0,1.0,4.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,7.0,280.5,0.0,0.028571429,0.0,0.0,1.0,1.0,1.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,6.0,98.0,0.0,0.066666667,0.0,0.0,2.0,5.0,1.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,2.0,68.0,0.0,0.1,0.0,0.0,3.0,2.0,3.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2.0,53.0,0.0,0.0,23.0,1668.285119,0.008333333,0.016312636,0.0,0.0,1.0,1.0,9.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,1.0,1.0,4.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,13.0,334.9666667,0.0,0.007692308,0.0,0.0,1.0,1.0,1.0,4.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,2.0,32.0,0.0,0.1,0.0,0.0,2.0,2.0,1.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,20.0,2981.166667,0.0,0.01,0.0,0.0,2.0,4.0,4.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,8.0,136.1666667,0.0,0.008333333,0.0,1.0,2.0,2.0,5.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.0,3.0,3.0,1.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,3.0,105.0,0.0,0.033333333,0.0,0.0,3.0,2.0,1.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,2.0,15.0,0.0,0.1,0.0,0.8,2.0,4.0,1.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,2.0,2.0,4.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,5.0,156.0,0.0,0.04,0.0,0.0,1.0,1.0,9.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
4.0,64.6,0.0,0.0,32.0,1135.444444,0.002857143,0.00952381,0.0,0.0,2.0,2.0,1.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,4.0,76.0,0.05,0.1,0.0,0.0,1.0,1.0,1.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,4.0,63.0,0.0,0.05,0.0,0.2,2.0,6.0,1.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.0,6.0,1.0,0.0,45.0,1582.75,0.043478261,0.050821256,54.17976426,0.4,3.0,2.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,2.0,35.0,0.0,0.1,0.0,0.0,1.0,1.0,6.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,3.0,78.0,0.0,0.066666667,0.0,0.0,1.0,2.0,6.0,6.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,8.0,209.5,0.0,0.025,0.0,0.0,2.0,2.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,10.0,183.6666667,0.04,0.08,0.0,0.0,1.0,1.0,3.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,14.0,380.5,0.014285714,0.028571429,0.0,0.0,2.0,2.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,52.0,2086.242857,0.015384615,0.020352564,0.0,0.0,2.0,2.0,7.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,8.0,388.0,0.025,0.05625,0.0,0.0,3.0,2.0,1.0,4.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2.0,18.0,0.0,0.0,5.0,298.0,0.0,0.028571429,0.0,0.8,2.0,2.0,8.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,7.0,63.0,0.028571429,0.071428571,0.0,0.6,2.0,2.0,1.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,9.0,482.0,0.0,0.022222222,0.0,0.0,2.0,5.0,1.0,6.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.0,9.0,0.0,0.0,46.0,4084.393939,0.0,0.001794872,0.0,0.0,2.0,2.0,8.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,3.0,22.0,0.0,0.066666667,0.0,0.6,1.0,1.0,3.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,15.0,310.1666667,0.0,0.006666667,0.0,0.0,1.0,1.0,4.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,2.0,34.0,0.0,0.05,0.0,0.4,3.0,2.0,2.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,4.0,88.0,0.0,0.05,0.0,0.0,4.0,1.0,1.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,22.0,622.25,0.003030303,0.006060606,0.0,0.2,2.0,5.0,1.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,14.0,222.4,0.017142857,0.057142857,0.0,0.0,1.0,1.0,1.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,3.0,80.0,0.066666667,0.133333333,0.0,0.2,3.0,2.0,1.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,11.0,800.8333333,0.0,0.003636364,0.0,0.0,3.0,2.0,1.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
